atc_code5,atc_code4,atc_code3,atc_code2,atc_code1,atc_desc5,atc_desc4,atc_desc3,atc_desc2,atc_desc1
A05AA01,A05AA,A05A,A05,A,chenodeoxycholic acid,Bile acid preparations,BILE THERAPY,BILE AND LIVER THERAPY,ALIMENTARY TRACT AND METABOLISM
A05AA02,A05AA,A05A,A05,A,ursodeoxycholic acid,Bile acid preparations,BILE THERAPY,BILE AND LIVER THERAPY,ALIMENTARY TRACT AND METABOLISM
A05AA03,A05AA,A05A,A05,A,cholic acid,Bile acid preparations,BILE THERAPY,BILE AND LIVER THERAPY,ALIMENTARY TRACT AND METABOLISM
A05AA04,A05AA,A05A,A05,A,obeticholic acid,Bile acid preparations,BILE THERAPY,BILE AND LIVER THERAPY,ALIMENTARY TRACT AND METABOLISM
C01BD01,C01BD,C01B,C01,C,amiodarone,"Antiarrhythmics, class III","ANTIARRHYTHMICS, CLASS I AND III",CARDIAC THERAPY,CARDIOVASCULAR SYSTEM
C01BD02,C01BD,C01B,C01,C,bretylium tosilate,"Antiarrhythmics, class III","ANTIARRHYTHMICS, CLASS I AND III",CARDIAC THERAPY,CARDIOVASCULAR SYSTEM
C01BD03,C01BD,C01B,C01,C,bunaftine,"Antiarrhythmics, class III","ANTIARRHYTHMICS, CLASS I AND III",CARDIAC THERAPY,CARDIOVASCULAR SYSTEM
C01BD04,C01BD,C01B,C01,C,dofetilide,"Antiarrhythmics, class III","ANTIARRHYTHMICS, CLASS I AND III",CARDIAC THERAPY,CARDIOVASCULAR SYSTEM
C01BD05,C01BD,C01B,C01,C,ibutilide,"Antiarrhythmics, class III","ANTIARRHYTHMICS, CLASS I AND III",CARDIAC THERAPY,CARDIOVASCULAR SYSTEM
C01BD06,C01BD,C01B,C01,C,tedisamil,"Antiarrhythmics, class III","ANTIARRHYTHMICS, CLASS I AND III",CARDIAC THERAPY,CARDIOVASCULAR SYSTEM
C01BD07,C01BD,C01B,C01,C,dronedarone,"Antiarrhythmics, class III","ANTIARRHYTHMICS, CLASS I AND III",CARDIAC THERAPY,CARDIOVASCULAR SYSTEM
S01GX01,S01GX,S01G,S01,S,cromoglicic acid,Other antiallergics,DECONGESTANTS AND ANTIALLERGICS,OPHTHALMOLOGICALS,SENSORY ORGANS
S01GX02,S01GX,S01G,S01,S,levocabastine,Other antiallergics,DECONGESTANTS AND ANTIALLERGICS,OPHTHALMOLOGICALS,SENSORY ORGANS
S01GX03,S01GX,S01G,S01,S,spaglumic acid,Other antiallergics,DECONGESTANTS AND ANTIALLERGICS,OPHTHALMOLOGICALS,SENSORY ORGANS
S01GX04,S01GX,S01G,S01,S,nedocromil,Other antiallergics,DECONGESTANTS AND ANTIALLERGICS,OPHTHALMOLOGICALS,SENSORY ORGANS
S01GX05,S01GX,S01G,S01,S,lodoxamide,Other antiallergics,DECONGESTANTS AND ANTIALLERGICS,OPHTHALMOLOGICALS,SENSORY ORGANS
S01GX06,S01GX,S01G,S01,S,emedastine,Other antiallergics,DECONGESTANTS AND ANTIALLERGICS,OPHTHALMOLOGICALS,SENSORY ORGANS
S01GX07,S01GX,S01G,S01,S,azelastine,Other antiallergics,DECONGESTANTS AND ANTIALLERGICS,OPHTHALMOLOGICALS,SENSORY ORGANS
S01GX08,S01GX,S01G,S01,S,ketotifen,Other antiallergics,DECONGESTANTS AND ANTIALLERGICS,OPHTHALMOLOGICALS,SENSORY ORGANS
S01GX09,S01GX,S01G,S01,S,olopatadine,Other antiallergics,DECONGESTANTS AND ANTIALLERGICS,OPHTHALMOLOGICALS,SENSORY ORGANS
S01GX10,S01GX,S01G,S01,S,epinastine,Other antiallergics,DECONGESTANTS AND ANTIALLERGICS,OPHTHALMOLOGICALS,SENSORY ORGANS
S01GX11,S01GX,S01G,S01,S,alcaftadine,Other antiallergics,DECONGESTANTS AND ANTIALLERGICS,OPHTHALMOLOGICALS,SENSORY ORGANS
S01GX51,S01GX,S01G,S01,S,"cromoglicic acid, combinations",Other antiallergics,DECONGESTANTS AND ANTIALLERGICS,OPHTHALMOLOGICALS,SENSORY ORGANS
J01CA01,J01CA,J01C,J01,J,ampicillin,Penicillins with extended spectrum,"BETA-LACTAM ANTIBACTERIALS, PENICILLINS",ANTIBACTERIALS FOR SYSTEMIC USE,ANTIINFECTIVES FOR SYSTEMIC USE
J01CA02,J01CA,J01C,J01,J,pivampicillin,Penicillins with extended spectrum,"BETA-LACTAM ANTIBACTERIALS, PENICILLINS",ANTIBACTERIALS FOR SYSTEMIC USE,ANTIINFECTIVES FOR SYSTEMIC USE
J01CA03,J01CA,J01C,J01,J,carbenicillin,Penicillins with extended spectrum,"BETA-LACTAM ANTIBACTERIALS, PENICILLINS",ANTIBACTERIALS FOR SYSTEMIC USE,ANTIINFECTIVES FOR SYSTEMIC USE
J01CA04,J01CA,J01C,J01,J,amoxicillin,Penicillins with extended spectrum,"BETA-LACTAM ANTIBACTERIALS, PENICILLINS",ANTIBACTERIALS FOR SYSTEMIC USE,ANTIINFECTIVES FOR SYSTEMIC USE
J01CA05,J01CA,J01C,J01,J,carindacillin,Penicillins with extended spectrum,"BETA-LACTAM ANTIBACTERIALS, PENICILLINS",ANTIBACTERIALS FOR SYSTEMIC USE,ANTIINFECTIVES FOR SYSTEMIC USE
J01CA06,J01CA,J01C,J01,J,bacampicillin,Penicillins with extended spectrum,"BETA-LACTAM ANTIBACTERIALS, PENICILLINS",ANTIBACTERIALS FOR SYSTEMIC USE,ANTIINFECTIVES FOR SYSTEMIC USE
J01CA07,J01CA,J01C,J01,J,epicillin,Penicillins with extended spectrum,"BETA-LACTAM ANTIBACTERIALS, PENICILLINS",ANTIBACTERIALS FOR SYSTEMIC USE,ANTIINFECTIVES FOR SYSTEMIC USE
J01CA08,J01CA,J01C,J01,J,pivmecillinam,Penicillins with extended spectrum,"BETA-LACTAM ANTIBACTERIALS, PENICILLINS",ANTIBACTERIALS FOR SYSTEMIC USE,ANTIINFECTIVES FOR SYSTEMIC USE
J01CA09,J01CA,J01C,J01,J,azlocillin,Penicillins with extended spectrum,"BETA-LACTAM ANTIBACTERIALS, PENICILLINS",ANTIBACTERIALS FOR SYSTEMIC USE,ANTIINFECTIVES FOR SYSTEMIC USE
J01CA10,J01CA,J01C,J01,J,mezlocillin,Penicillins with extended spectrum,"BETA-LACTAM ANTIBACTERIALS, PENICILLINS",ANTIBACTERIALS FOR SYSTEMIC USE,ANTIINFECTIVES FOR SYSTEMIC USE
J01CA11,J01CA,J01C,J01,J,mecillinam,Penicillins with extended spectrum,"BETA-LACTAM ANTIBACTERIALS, PENICILLINS",ANTIBACTERIALS FOR SYSTEMIC USE,ANTIINFECTIVES FOR SYSTEMIC USE
J01CA12,J01CA,J01C,J01,J,piperacillin,Penicillins with extended spectrum,"BETA-LACTAM ANTIBACTERIALS, PENICILLINS",ANTIBACTERIALS FOR SYSTEMIC USE,ANTIINFECTIVES FOR SYSTEMIC USE
J01CA13,J01CA,J01C,J01,J,ticarcillin,Penicillins with extended spectrum,"BETA-LACTAM ANTIBACTERIALS, PENICILLINS",ANTIBACTERIALS FOR SYSTEMIC USE,ANTIINFECTIVES FOR SYSTEMIC USE
J01CA14,J01CA,J01C,J01,J,metampicillin,Penicillins with extended spectrum,"BETA-LACTAM ANTIBACTERIALS, PENICILLINS",ANTIBACTERIALS FOR SYSTEMIC USE,ANTIINFECTIVES FOR SYSTEMIC USE
J01CA15,J01CA,J01C,J01,J,talampicillin,Penicillins with extended spectrum,"BETA-LACTAM ANTIBACTERIALS, PENICILLINS",ANTIBACTERIALS FOR SYSTEMIC USE,ANTIINFECTIVES FOR SYSTEMIC USE
J01CA16,J01CA,J01C,J01,J,sulbenicillin,Penicillins with extended spectrum,"BETA-LACTAM ANTIBACTERIALS, PENICILLINS",ANTIBACTERIALS FOR SYSTEMIC USE,ANTIINFECTIVES FOR SYSTEMIC USE
J01CA17,J01CA,J01C,J01,J,temocillin,Penicillins with extended spectrum,"BETA-LACTAM ANTIBACTERIALS, PENICILLINS",ANTIBACTERIALS FOR SYSTEMIC USE,ANTIINFECTIVES FOR SYSTEMIC USE
J01CA18,J01CA,J01C,J01,J,hetacillin,Penicillins with extended spectrum,"BETA-LACTAM ANTIBACTERIALS, PENICILLINS",ANTIBACTERIALS FOR SYSTEMIC USE,ANTIINFECTIVES FOR SYSTEMIC USE
J01CA19,J01CA,J01C,J01,J,aspoxicillin,Penicillins with extended spectrum,"BETA-LACTAM ANTIBACTERIALS, PENICILLINS",ANTIBACTERIALS FOR SYSTEMIC USE,ANTIINFECTIVES FOR SYSTEMIC USE
J01CA20,J01CA,J01C,J01,J,combinations,Penicillins with extended spectrum,"BETA-LACTAM ANTIBACTERIALS, PENICILLINS",ANTIBACTERIALS FOR SYSTEMIC USE,ANTIINFECTIVES FOR SYSTEMIC USE
J01CA51,J01CA,J01C,J01,J,"ampicillin, combinations",Penicillins with extended spectrum,"BETA-LACTAM ANTIBACTERIALS, PENICILLINS",ANTIBACTERIALS FOR SYSTEMIC USE,ANTIINFECTIVES FOR SYSTEMIC USE
J01MA01,J01MA,J01M,J01,J,ofloxacin,Fluoroquinolones,QUINOLONE ANTIBACTERIALS,ANTIBACTERIALS FOR SYSTEMIC USE,ANTIINFECTIVES FOR SYSTEMIC USE
J01MA02,J01MA,J01M,J01,J,ciprofloxacin,Fluoroquinolones,QUINOLONE ANTIBACTERIALS,ANTIBACTERIALS FOR SYSTEMIC USE,ANTIINFECTIVES FOR SYSTEMIC USE
J01MA03,J01MA,J01M,J01,J,pefloxacin,Fluoroquinolones,QUINOLONE ANTIBACTERIALS,ANTIBACTERIALS FOR SYSTEMIC USE,ANTIINFECTIVES FOR SYSTEMIC USE
J01MA04,J01MA,J01M,J01,J,enoxacin,Fluoroquinolones,QUINOLONE ANTIBACTERIALS,ANTIBACTERIALS FOR SYSTEMIC USE,ANTIINFECTIVES FOR SYSTEMIC USE
J01MA05,J01MA,J01M,J01,J,temafloxacin,Fluoroquinolones,QUINOLONE ANTIBACTERIALS,ANTIBACTERIALS FOR SYSTEMIC USE,ANTIINFECTIVES FOR SYSTEMIC USE
J01MA06,J01MA,J01M,J01,J,norfloxacin,Fluoroquinolones,QUINOLONE ANTIBACTERIALS,ANTIBACTERIALS FOR SYSTEMIC USE,ANTIINFECTIVES FOR SYSTEMIC USE
J01MA07,J01MA,J01M,J01,J,lomefloxacin,Fluoroquinolones,QUINOLONE ANTIBACTERIALS,ANTIBACTERIALS FOR SYSTEMIC USE,ANTIINFECTIVES FOR SYSTEMIC USE
J01MA08,J01MA,J01M,J01,J,fleroxacin,Fluoroquinolones,QUINOLONE ANTIBACTERIALS,ANTIBACTERIALS FOR SYSTEMIC USE,ANTIINFECTIVES FOR SYSTEMIC USE
J01MA09,J01MA,J01M,J01,J,sparfloxacin,Fluoroquinolones,QUINOLONE ANTIBACTERIALS,ANTIBACTERIALS FOR SYSTEMIC USE,ANTIINFECTIVES FOR SYSTEMIC USE
J01MA10,J01MA,J01M,J01,J,rufloxacin,Fluoroquinolones,QUINOLONE ANTIBACTERIALS,ANTIBACTERIALS FOR SYSTEMIC USE,ANTIINFECTIVES FOR SYSTEMIC USE
J01MA11,J01MA,J01M,J01,J,grepafloxacin,Fluoroquinolones,QUINOLONE ANTIBACTERIALS,ANTIBACTERIALS FOR SYSTEMIC USE,ANTIINFECTIVES FOR SYSTEMIC USE
J01MA12,J01MA,J01M,J01,J,levofloxacin,Fluoroquinolones,QUINOLONE ANTIBACTERIALS,ANTIBACTERIALS FOR SYSTEMIC USE,ANTIINFECTIVES FOR SYSTEMIC USE
J01MA13,J01MA,J01M,J01,J,trovafloxacin,Fluoroquinolones,QUINOLONE ANTIBACTERIALS,ANTIBACTERIALS FOR SYSTEMIC USE,ANTIINFECTIVES FOR SYSTEMIC USE
J01MA14,J01MA,J01M,J01,J,moxifloxacin,Fluoroquinolones,QUINOLONE ANTIBACTERIALS,ANTIBACTERIALS FOR SYSTEMIC USE,ANTIINFECTIVES FOR SYSTEMIC USE
J01MA15,J01MA,J01M,J01,J,gemifloxacin,Fluoroquinolones,QUINOLONE ANTIBACTERIALS,ANTIBACTERIALS FOR SYSTEMIC USE,ANTIINFECTIVES FOR SYSTEMIC USE
J01MA16,J01MA,J01M,J01,J,gatifloxacin,Fluoroquinolones,QUINOLONE ANTIBACTERIALS,ANTIBACTERIALS FOR SYSTEMIC USE,ANTIINFECTIVES FOR SYSTEMIC USE
J01MA17,J01MA,J01M,J01,J,prulifloxacin,Fluoroquinolones,QUINOLONE ANTIBACTERIALS,ANTIBACTERIALS FOR SYSTEMIC USE,ANTIINFECTIVES FOR SYSTEMIC USE
J01MA18,J01MA,J01M,J01,J,pazufloxacin,Fluoroquinolones,QUINOLONE ANTIBACTERIALS,ANTIBACTERIALS FOR SYSTEMIC USE,ANTIINFECTIVES FOR SYSTEMIC USE
J01MA19,J01MA,J01M,J01,J,garenoxacin,Fluoroquinolones,QUINOLONE ANTIBACTERIALS,ANTIBACTERIALS FOR SYSTEMIC USE,ANTIINFECTIVES FOR SYSTEMIC USE
J01MA21,J01MA,J01M,J01,J,sitafloxacin,Fluoroquinolones,QUINOLONE ANTIBACTERIALS,ANTIBACTERIALS FOR SYSTEMIC USE,ANTIINFECTIVES FOR SYSTEMIC USE
N02CC01,N02CC,N02C,N02,N,sumatriptan,Selective serotonin (5HT1) agonists,ANTIMIGRAINE PREPARATIONS,ANALGESICS,NERVOUS SYSTEM
N02CC02,N02CC,N02C,N02,N,naratriptan,Selective serotonin (5HT1) agonists,ANTIMIGRAINE PREPARATIONS,ANALGESICS,NERVOUS SYSTEM
N02CC03,N02CC,N02C,N02,N,zolmitriptan,Selective serotonin (5HT1) agonists,ANTIMIGRAINE PREPARATIONS,ANALGESICS,NERVOUS SYSTEM
N02CC04,N02CC,N02C,N02,N,rizatriptan,Selective serotonin (5HT1) agonists,ANTIMIGRAINE PREPARATIONS,ANALGESICS,NERVOUS SYSTEM
N02CC05,N02CC,N02C,N02,N,almotriptan,Selective serotonin (5HT1) agonists,ANTIMIGRAINE PREPARATIONS,ANALGESICS,NERVOUS SYSTEM
N02CC06,N02CC,N02C,N02,N,eletriptan,Selective serotonin (5HT1) agonists,ANTIMIGRAINE PREPARATIONS,ANALGESICS,NERVOUS SYSTEM
N02CC07,N02CC,N02C,N02,N,frovatriptan,Selective serotonin (5HT1) agonists,ANTIMIGRAINE PREPARATIONS,ANALGESICS,NERVOUS SYSTEM
