"atc_code5","atc_desc5","atc_code1","atc_code2","atc_code3","atc_code4","atc_desc1","atc_desc2","atc_desc3","atc_desc4"
"A05AA01","chenodeoxycholic acid","A","A05","A05A","A05AA","ALIMENTARY TRACT AND METABOLISM","BILE AND LIVER THERAPY","BILE THERAPY","Bile acid preparations"
"A05AA02","ursodeoxycholic acid","A","A05","A05A","A05AA","ALIMENTARY TRACT AND METABOLISM","BILE AND LIVER THERAPY","BILE THERAPY","Bile acid preparations"
"A05AA03","cholic acid","A","A05","A05A","A05AA","ALIMENTARY TRACT AND METABOLISM","BILE AND LIVER THERAPY","BILE THERAPY","Bile acid preparations"
"A05AA04","obeticholic acid","A","A05","A05A","A05AA","ALIMENTARY TRACT AND METABOLISM","BILE AND LIVER THERAPY","BILE THERAPY","Bile acid preparations"
"C01BD01","amiodarone","C","C01","C01B","C01BD","CARDIOVASCULAR SYSTEM","CARDIAC THERAPY","ANTIARRHYTHMICS, CLASS I AND III","Antiarrhythmics, class III"
"C01BD02","bretylium tosilate","C","C01","C01B","C01BD","CARDIOVASCULAR SYSTEM","CARDIAC THERAPY","ANTIARRHYTHMICS, CLASS I AND III","Antiarrhythmics, class III"
"C01BD03","bunaftine","C","C01","C01B","C01BD","CARDIOVASCULAR SYSTEM","CARDIAC THERAPY","ANTIARRHYTHMICS, CLASS I AND III","Antiarrhythmics, class III"
"C01BD04","dofetilide","C","C01","C01B","C01BD","CARDIOVASCULAR SYSTEM","CARDIAC THERAPY","ANTIARRHYTHMICS, CLASS I AND III","Antiarrhythmics, class III"
"C01BD05","ibutilide","C","C01","C01B","C01BD","CARDIOVASCULAR SYSTEM","CARDIAC THERAPY","ANTIARRHYTHMICS, CLASS I AND III","Antiarrhythmics, class III"
"C01BD06","tedisamil","C","C01","C01B","C01BD","CARDIOVASCULAR SYSTEM","CARDIAC THERAPY","ANTIARRHYTHMICS, CLASS I AND III","Antiarrhythmics, class III"
"C01BD07","dronedarone","C","C01","C01B","C01BD","CARDIOVASCULAR SYSTEM","CARDIAC THERAPY","ANTIARRHYTHMICS, CLASS I AND III","Antiarrhythmics, class III"
"S01GX01","cromoglicic acid","S","S01","S01G","S01GX","SENSORY ORGANS","OPHTHALMOLOGICALS","DECONGESTANTS AND ANTIALLERGICS","Other antiallergics"
"S01GX02","levocabastine","S","S01","S01G","S01GX","SENSORY ORGANS","OPHTHALMOLOGICALS","DECONGESTANTS AND ANTIALLERGICS","Other antiallergics"
"S01GX03","spaglumic acid","S","S01","S01G","S01GX","SENSORY ORGANS","OPHTHALMOLOGICALS","DECONGESTANTS AND ANTIALLERGICS","Other antiallergics"
"S01GX04","nedocromil","S","S01","S01G","S01GX","SENSORY ORGANS","OPHTHALMOLOGICALS","DECONGESTANTS AND ANTIALLERGICS","Other antiallergics"
"S01GX05","lodoxamide","S","S01","S01G","S01GX","SENSORY ORGANS","OPHTHALMOLOGICALS","DECONGESTANTS AND ANTIALLERGICS","Other antiallergics"
"S01GX06","emedastine","S","S01","S01G","S01GX","SENSORY ORGANS","OPHTHALMOLOGICALS","DECONGESTANTS AND ANTIALLERGICS","Other antiallergics"
"S01GX07","azelastine","S","S01","S01G","S01GX","SENSORY ORGANS","OPHTHALMOLOGICALS","DECONGESTANTS AND ANTIALLERGICS","Other antiallergics"
"S01GX08","ketotifen","S","S01","S01G","S01GX","SENSORY ORGANS","OPHTHALMOLOGICALS","DECONGESTANTS AND ANTIALLERGICS","Other antiallergics"
"S01GX09","olopatadine","S","S01","S01G","S01GX","SENSORY ORGANS","OPHTHALMOLOGICALS","DECONGESTANTS AND ANTIALLERGICS","Other antiallergics"
"S01GX10","epinastine","S","S01","S01G","S01GX","SENSORY ORGANS","OPHTHALMOLOGICALS","DECONGESTANTS AND ANTIALLERGICS","Other antiallergics"
"S01GX11","alcaftadine","S","S01","S01G","S01GX","SENSORY ORGANS","OPHTHALMOLOGICALS","DECONGESTANTS AND ANTIALLERGICS","Other antiallergics"
"S01GX51","cromoglicic acid, combinations","S","S01","S01G","S01GX","SENSORY ORGANS","OPHTHALMOLOGICALS","DECONGESTANTS AND ANTIALLERGICS","Other antiallergics"
"J01CA01","ampicillin","J","J01","J01C","J01CA","ANTIINFECTIVES FOR SYSTEMIC USE","ANTIBACTERIALS FOR SYSTEMIC USE","BETA-LACTAM ANTIBACTERIALS, PENICILLINS","Penicillins with extended spectrum"
"J01CA02","pivampicillin","J","J01","J01C","J01CA","ANTIINFECTIVES FOR SYSTEMIC USE","ANTIBACTERIALS FOR SYSTEMIC USE","BETA-LACTAM ANTIBACTERIALS, PENICILLINS","Penicillins with extended spectrum"
"J01CA03","carbenicillin","J","J01","J01C","J01CA","ANTIINFECTIVES FOR SYSTEMIC USE","ANTIBACTERIALS FOR SYSTEMIC USE","BETA-LACTAM ANTIBACTERIALS, PENICILLINS","Penicillins with extended spectrum"
"J01CA04","amoxicillin","J","J01","J01C","J01CA","ANTIINFECTIVES FOR SYSTEMIC USE","ANTIBACTERIALS FOR SYSTEMIC USE","BETA-LACTAM ANTIBACTERIALS, PENICILLINS","Penicillins with extended spectrum"
"J01CA05","carindacillin","J","J01","J01C","J01CA","ANTIINFECTIVES FOR SYSTEMIC USE","ANTIBACTERIALS FOR SYSTEMIC USE","BETA-LACTAM ANTIBACTERIALS, PENICILLINS","Penicillins with extended spectrum"
"J01CA06","bacampicillin","J","J01","J01C","J01CA","ANTIINFECTIVES FOR SYSTEMIC USE","ANTIBACTERIALS FOR SYSTEMIC USE","BETA-LACTAM ANTIBACTERIALS, PENICILLINS","Penicillins with extended spectrum"
"J01CA07","epicillin","J","J01","J01C","J01CA","ANTIINFECTIVES FOR SYSTEMIC USE","ANTIBACTERIALS FOR SYSTEMIC USE","BETA-LACTAM ANTIBACTERIALS, PENICILLINS","Penicillins with extended spectrum"
"J01CA08","pivmecillinam","J","J01","J01C","J01CA","ANTIINFECTIVES FOR SYSTEMIC USE","ANTIBACTERIALS FOR SYSTEMIC USE","BETA-LACTAM ANTIBACTERIALS, PENICILLINS","Penicillins with extended spectrum"
"J01CA09","azlocillin","J","J01","J01C","J01CA","ANTIINFECTIVES FOR SYSTEMIC USE","ANTIBACTERIALS FOR SYSTEMIC USE","BETA-LACTAM ANTIBACTERIALS, PENICILLINS","Penicillins with extended spectrum"
"J01CA10","mezlocillin","J","J01","J01C","J01CA","ANTIINFECTIVES FOR SYSTEMIC USE","ANTIBACTERIALS FOR SYSTEMIC USE","BETA-LACTAM ANTIBACTERIALS, PENICILLINS","Penicillins with extended spectrum"
"J01CA11","mecillinam","J","J01","J01C","J01CA","ANTIINFECTIVES FOR SYSTEMIC USE","ANTIBACTERIALS FOR SYSTEMIC USE","BETA-LACTAM ANTIBACTERIALS, PENICILLINS","Penicillins with extended spectrum"
"J01CA12","piperacillin","J","J01","J01C","J01CA","ANTIINFECTIVES FOR SYSTEMIC USE","ANTIBACTERIALS FOR SYSTEMIC USE","BETA-LACTAM ANTIBACTERIALS, PENICILLINS","Penicillins with extended spectrum"
